pred_id,amphipoda_tot,bivalvia_tot,clupeidae_tot,clupea_harengus_tot,gadus_morhua_tot,gobiidae_tot,mysidae_tot,non_bio_tot,other_crustacea_tot,other_tot,other_pisces_tot,platichthys_flesus_tot,polychaeta_tot,saduria_entomon_tot,sprattus_sprattus_tot,predator_latin_name,species,pred_weight_g,pred_length_cm,year,quarter,month,ices_rect,subdiv,haul_id,smhi_serial_no,X,Y,lat,lon,fle_kg_km2,mcod_kg_km2,scod_kg_km2,date,bottom_depth,group,depth,density_saduria,oxy
2015_4_COD_182,0.49,0,0,0,0,0,0.21999999999999997,0,0,0,0,0,0,0,0,Gadus morhua,Cod,65,19,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_183,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0.07,0,Gadus morhua,Cod,219,29,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_185,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,Gadus morhua,Cod,38,16,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_187,0.01,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0.07,0,Gadus morhua,Cod,94,21,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gadus morhua,Cod,330,33,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_19,0,0,0,0,0,0,0,0,0.08,0,0,0,0.04,0,0,Gadus morhua,Cod,135,25,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,small cod,58.349998474121094,153.9318389892578,3.972603003425598
2015_4_COD_190,0.05,0,0,0,0,0.08,1.46,0,0,0,0,0,0,0,0,Gadus morhua,Cod,118,23,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_196,0.02,0,0,0,0,0,0.14999999999999997,0,0,0,0,0,0,0,0,Gadus morhua,Cod,142,25,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,small cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_199,0.01,0,0,0,0,0,0.04,0,0,0,0.06,0,0,1.3,0,Gadus morhua,Cod,351,36,2015,4,11,41G7,25,2015_4_8,7,647.3338697206914,6216.0246844983185,56.06666666666667,17.366666666666667,794.859813084112,5514.953271028038,2626.1682242990655,2015-11-21,416,large cod,39.939998626708984,3301.8662109375,5.589224890119934
2015_4_COD_20,0,0,0,0,0,0,0,0,0.57,0,0,0,0.25,0,0,Gadus morhua,Cod,191,28,2015,4,11,40G4,25,2015_4_2,1,474.81727343113545,6165.344364084611,55.63333333333333,14.6,330.28125,32054.050000000003,10684.683333333334,2015-11-20,602,large cod,58.349998474121094,153.9318389892578,3.972603003425598
